Entry	Status	Gene ontology (molecular function)
Q9VAB8	unreviewed	chromatin binding [GO:0003682]; chromatin insulator sequence binding [GO:0043035]; DNA binding [GO:0003677]; sequence-specific DNA binding [GO:0043565]
Q9VRK2	unreviewed	
X2JCR2	unreviewed	
A1Z9N0	unreviewed	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; microtubule binding [GO:0008017]
P54623	reviewed	microtubule binding [GO:0008017]
Q7KVE5	unreviewed	
Q95T08	unreviewed	
Q9VP67	unreviewed	
Q9VS32	unreviewed	
Q9VWX8	unreviewed	calcium ion binding [GO:0005509]
A1Z9N7	unreviewed	voltage-gated potassium channel activity [GO:0005249]
A1Z9P1	unreviewed	
Q9VJE3	unreviewed	zinc ion binding [GO:0008270]
A1Z9P3	reviewed	actin binding [GO:0003779]; actin filament binding [GO:0051015]
P39018	reviewed	structural constituent of ribosome [GO:0003735]
Q7JVY2	unreviewed	DNA binding [GO:0003677]; DNA polymerase binding [GO:0070182]
Q7JX82	unreviewed	G-protein alpha-subunit binding [GO:0001965]
Q9V393	unreviewed	
Q9VG06	unreviewed	aminoacyl-tRNA hydrolase activity [GO:0004045]
Q9W478	unreviewed	metallocarboxypeptidase activity [GO:0004181]; zinc ion binding [GO:0008270]
A1Z9Q9	unreviewed	aspartic-type endopeptidase activity [GO:0004190]
A1Z9S1	reviewed	
O96860	reviewed	ATPase activity, coupled [GO:0042623]; dynein intermediate chain binding [GO:0045505]; dynein light intermediate chain binding [GO:0051959]; motor activity [GO:0003774]
P48610	reviewed	arginine kinase activity [GO:0004054]; ATP binding [GO:0005524]
Q7KUL3	unreviewed	
Q9VGY3	unreviewed	
Q9VKG9	reviewed	growth factor activity [GO:0008083]; Toll binding [GO:0005121]
Q9VTM0	reviewed	
Q9VTY4	reviewed	
Q9W140	unreviewed	
Q9W2C5	unreviewed	
A1Z9S8	unreviewed	methyltransferase activity [GO:0008168]; nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]
O97183	unreviewed	DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; protein dimerization activity [GO:0046983]
Q9VP48	reviewed	GTPase activity [GO:0003924]; GTP binding [GO:0005525]
A1Z9T0	unreviewed	
Q7K0L7	unreviewed	antiporter activity [GO:0015297]; thiamine transmembrane transporter activity [GO:0015234]
A1Z9T6	unreviewed	
Q7KTX7	unreviewed	metal ion binding [GO:0046872]; ubiquitin conjugating enzyme binding [GO:0031624]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]
O02194	reviewed	aspartic-type endopeptidase activity [GO:0004190]; endopeptidase activity [GO:0004175]
Q8MT58	unreviewed	dipeptidase activity [GO:0016805]; metal ion binding [GO:0046872]; metallopeptidase activity [GO:0008237]
Q9VGR1	unreviewed	ADP-ribosylation factor binding [GO:0030306]; protein homodimerization activity [GO:0042803]; Rab GTPase binding [GO:0017137]
A1Z9W4	unreviewed	mRNA binding [GO:0003729]; RNA binding [GO:0003723]; RNA polymerase II complex binding [GO:0000993]
A1Z9X0	reviewed	ATP binding [GO:0005524]; metal ion binding [GO:0046872]; myosin binding [GO:0017022]; protein kinase C activity [GO:0004697]; protein serine/threonine kinase activity [GO:0004674]
O76521	unreviewed	nuclear import signal receptor activity [GO:0061608]; nuclear localization sequence binding [GO:0008139]; protein transporter activity [GO:0008565]
O97111	unreviewed	protein kinase C binding [GO:0005080]; Rho GTPase binding [GO:0017048]
Q8IRD5	unreviewed	
Q9VH77	unreviewed	mannose-6-phosphate isomerase activity [GO:0004476]; zinc ion binding [GO:0008270]
Q9VPF3	unreviewed	4-hydroxyphenylpyruvate dioxygenase activity [GO:0003868]; metal ion binding [GO:0046872]
Q9VVT5	reviewed	
Q9XTN4	unreviewed	DNA-binding transcription factor activity [GO:0003700]; enhancer sequence-specific DNA binding [GO:0001158]; RNA polymerase II distal enhancer sequence-specific DNA binding [GO:0000980]; sequence-specific DNA binding [GO:0043565]
A8JUX7	unreviewed	
O18645	unreviewed	AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; G protein-coupled receptor kinase activity [GO:0004703]; protein serine/threonine kinase activity [GO:0004674]
P20193	reviewed	chromatin binding [GO:0003682]; DNA binding [GO:0003677]; glycerol-3-phosphate dehydrogenase [NAD(P)+] activity [GO:0047952]; glycerol-3-phosphate dehydrogenase [NAD+] activity [GO:0004367]; metal ion binding [GO:0046872]
P20659	reviewed	chromatin binding [GO:0003682]; DNA-binding transcription factor activity [GO:0003700]; histone methyltransferase activity (H3-K4 specific) [GO:0042800]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]; protein phosphatase 1 binding [GO:0008157]; sequence-specific DNA binding [GO:0043565]; zinc ion binding [GO:0008270]
P42282	reviewed	DNA binding [GO:0003677]; metal ion binding [GO:0046872]; POZ domain binding [GO:0031208]; protein homodimerization activity [GO:0042803]; proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001078]; RNA polymerase II distal enhancer sequence-specific DNA binding [GO:0000980]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]
P45437	reviewed	structural molecule activity [GO:0005198]
P46461	reviewed	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]
Q6NNE2	unreviewed	microtubule plus-end binding [GO:0051010]
Q7K0G4	unreviewed	
Q7K4N3	reviewed	mRNA binding [GO:0003729]; RNA cap binding [GO:0000339]
Q7K556	reviewed	GTP binding [GO:0005525]; phosphatidic acid binding [GO:0070300]; phosphatidylinositol binding [GO:0035091]
Q7KRS9	unreviewed	zinc ion binding [GO:0008270]
Q9BMQ0	unreviewed	DNA binding [GO:0003677]; metal ion binding [GO:0046872]; transcription factor binding [GO:0008134]
Q9NFV7	unreviewed	endopeptidase inhibitor activity [GO:0004866]
Q9V8R9	reviewed	actin binding [GO:0003779]; cytoskeletal protein binding [GO:0008092]; structural molecule activity [GO:0005198]
Q9V9A9	unreviewed	protein disulfide isomerase activity [GO:0003756]
Q9VDK5	unreviewed	chromatin binding [GO:0003682]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]
Q9VE23	unreviewed	
Q9VIT9	unreviewed	endopeptidase inhibitor activity [GO:0004866]
Q9VJ62	reviewed	RNA binding [GO:0003723]
Q9VKM7	unreviewed	
Q9VLH9	unreviewed	alpha-mannosidase activity [GO:0004559]; carbohydrate binding [GO:0030246]; metal ion binding [GO:0046872]
Q9VLT6	unreviewed	calcium ion binding [GO:0005509]
Q9VPA9	unreviewed	
Q9VPY3	unreviewed	chromatin binding [GO:0003682]; NF-kappaB binding [GO:0051059]
Q9VQG0	unreviewed	nuclear localization sequence binding [GO:0008139]; protein transporter activity [GO:0008565]; Ran GTPase binding [GO:0008536]
Q9VSA4	reviewed	
Q9VTH3	unreviewed	ionotropic glutamate receptor activity [GO:0004970]; ligand-gated ion channel activity [GO:0015276]
Q9VTR2	unreviewed	chitin binding [GO:0008061]
Q9VUC6	reviewed	actin binding [GO:0003779]; GTPase binding [GO:0051020]; Rho GTPase binding [GO:0017048]
Q9VVL7	unreviewed	dihydrolipoyl dehydrogenase activity [GO:0004148]; electron transfer activity [GO:0009055]; flavin adenine dinucleotide binding [GO:0050660]
Q9VW26	reviewed	ornithine-oxo-acid transaminase activity [GO:0004587]; pyridoxal phosphate binding [GO:0030170]
Q9VXC6	unreviewed	serine-type endopeptidase activity [GO:0004252]
Q9VY91	unreviewed	
Q9W0Q1	unreviewed	ATP binding [GO:0005524]; beta-catenin binding [GO:0008013]; DNA binding [GO:0003677]; protein kinase activity [GO:0004672]; protein serine/threonine kinase activity [GO:0004674]; transcription factor binding [GO:0008134]
Q9W352	reviewed	unmethylated CpG binding [GO:0045322]; zinc ion binding [GO:0008270]
Q9W4M9	reviewed	methyltransferase activity [GO:0008168]; tRNA (cytosine-5-)-methyltransferase activity [GO:0016428]; tRNA binding [GO:0000049]
Q9XYM1	unreviewed	aspartate-tRNA ligase activity [GO:0004815]; ATP binding [GO:0005524]; RNA binding [GO:0003723]
Q9Y1A8	unreviewed	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]
A1ZA22	unreviewed	nucleotidyltransferase activity [GO:0016779]; translation initiation factor activity [GO:0003743]
Q9VR19	reviewed	protein binding, bridging [GO:0030674]
Q9W541	unreviewed	guanyl-nucleotide exchange factor activity [GO:0005085]; nucleotidyltransferase activity [GO:0016779]; translation initiation factor activity [GO:0003743]; translation initiation factor binding [GO:0031369]
A1ZA23	unreviewed	chitin binding [GO:0008061]
A1ZA28	unreviewed	metal ion binding [GO:0046872]
C8VV50	unreviewed	
P07182	reviewed	structural constituent of chorion [GO:0005213]
P20477	reviewed	ATP binding [GO:0005524]; glutamate-ammonia ligase activity [GO:0004356]
P25843	reviewed	actin binding [GO:0003779]; actin monomer binding [GO:0003785]
P29052	reviewed	metal ion binding [GO:0046872]; TBP-class protein binding [GO:0017025]; transcription factor binding [GO:0008134]
P45884	reviewed	
Q24044	unreviewed	anaphase-promoting complex binding [GO:0010997]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activator activity [GO:0097027]
Q9VDT2	unreviewed	nucleic acid binding [GO:0003676]
Q9VF53	unreviewed	2 iron, 2 sulfur cluster binding [GO:0051537]; electron transfer activity [GO:0009055]; FAD binding [GO:0071949]; flavin adenine dinucleotide binding [GO:0050660]; iron ion binding [GO:0005506]; pyridoxal oxidase activity [GO:0004732]; xanthine dehydrogenase activity [GO:0004854]
Q9VFL4	unreviewed	
Q9VJI7	unreviewed	
Q9VQ46	unreviewed	heme binding [GO:0020037]
Q9VU68	reviewed	actin binding [GO:0003779]; actin filament binding [GO:0051015]
Q9VVS5	unreviewed	snoRNA binding [GO:0030515]
Q9W1X9	reviewed	
A1ZA45	unreviewed	
H0RNA4	unreviewed	
Q45VV3	reviewed	14-3-3 protein binding [GO:0071889]; transcription coactivator activity [GO:0003713]; transcription factor binding [GO:0008134]
Q8T4H8	unreviewed	cytochrome-c oxidase activity [GO:0004129]
Q9VY93	reviewed	methylthioribulose 1-phosphate dehydratase activity [GO:0046570]; zinc ion binding [GO:0008270]
Q9VY97	unreviewed	
A1ZA47	reviewed	actin binding [GO:0003779]; actinin binding [GO:0042805]; metal ion binding [GO:0046872]; muscle alpha-actinin binding [GO:0051371]
E1JH26	unreviewed	copper ion binding [GO:0005507]; superoxide dismutase activity [GO:0004784]; superoxide dismutase copper chaperone activity [GO:0016532]; zinc ion binding [GO:0008270]
G4LU05	unreviewed	
P07191	reviewed	alpha-1,4-glucosidase activity [GO:0004558]; maltose alpha-glucosidase activity [GO:0032450]
P18091	reviewed	actin binding [GO:0003779]; actin filament binding [GO:0051015]; calcium ion binding [GO:0005509]
Q8IH06	unreviewed	single-stranded RNA binding [GO:0003727]
Q9I7L0	unreviewed	
Q9V3X3	unreviewed	DNA binding [GO:0003677]
Q9VGC7	reviewed	mRNA cap binding [GO:0098808]; translation initiation factor activity [GO:0003743]
Q9VHC7	unreviewed	mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]
Q9VK08	unreviewed	MAP-kinase scaffold activity [GO:0005078]
Q9VS76	unreviewed	
Q9VV32	unreviewed	
Q9VWI4	unreviewed	SUMO transferase activity [GO:0019789]; zinc ion binding [GO:0008270]
Q9VYS2	unreviewed	
Q9W2D9	reviewed	ribosome binding [GO:0043022]; translation initiation factor activity [GO:0003743]
A1ZA72	unreviewed	ATP binding [GO:0005524]; calmodulin-dependent protein kinase activity [GO:0004683]; myosin light chain kinase activity [GO:0004687]; protein serine/threonine kinase activity [GO:0004674]; structural constituent of cytoskeleton [GO:0005200]
Q9VBQ4	unreviewed	
Q9VJJ0	unreviewed	endopeptidase activity [GO:0004175]; threonine-type endopeptidase activity [GO:0004298]
A1ZA92	reviewed	ATP binding [GO:0005524]; polynucleotide 5'-hydroxyl-kinase activity [GO:0051731]
M9PHF1	unreviewed	Ras GTPase binding [GO:0017016]
P29327	reviewed	structural constituent of ribosome [GO:0003735]
P41093	reviewed	structural constituent of ribosome [GO:0003735]
Q24106	reviewed	BIR domain binding [GO:1990525]; ubiquitin protein ligase binding [GO:0031625]
Q5BHZ4	unreviewed	structural constituent of ribosome [GO:0003735]
Q8SZ38	unreviewed	
Q8SZ49	unreviewed	
Q95R98	unreviewed	protein methylesterase activity [GO:0051723]
Q9V597	reviewed	structural constituent of ribosome [GO:0003735]
Q9VHS8	reviewed	ATP binding [GO:0005524]; helicase activity [GO:0004386]; RNA binding [GO:0003723]
Q9VIF6	unreviewed	ATP binding [GO:0005524]; ATP-dependent RNA helicase activity [GO:0004004]; nucleic acid binding [GO:0003676]
Q9VNE9	reviewed	mRNA binding [GO:0003729]; structural constituent of ribosome [GO:0003735]
Q9VNZ4	unreviewed	DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; zinc ion binding [GO:0008270]
Q9VTY7	unreviewed	nucleic acid binding [GO:0003676]; zinc ion binding [GO:0008270]
Q9W0G4	unreviewed	hydroxymethylbilane synthase activity [GO:0004418]
Q9W1S6	unreviewed	
Q9W531	unreviewed	
A1ZA98	unreviewed	carboxylic ester hydrolase activity [GO:0052689]; juvenile-hormone esterase activity [GO:0004453]
A1ZAA5	unreviewed	L-aspartate:2-oxoglutarate aminotransferase activity [GO:0004069]; pyridoxal phosphate binding [GO:0030170]
A1ZAC0	unreviewed	metal ion binding [GO:0046872]
P21461	reviewed	identical protein binding [GO:0042802]; ubiquitin conjugating enzyme binding [GO:0031624]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]
O76899	unreviewed	
Q0E8C8	reviewed	serine-type endopeptidase inhibitor activity [GO:0004867]
Q9V4U7	reviewed	heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]
A0A0B4K7J2	reviewed	metal ion binding [GO:0046872]; Ran GTPase binding [GO:0008536]; transferase activity [GO:0016740]
Q9VI27	unreviewed	
Q9VJZ8	unreviewed	hydrolase activity [GO:0016787]
A1ZAC4	unreviewed	metal ion binding [GO:0046872]
Q8IPW6	unreviewed	metal ion binding [GO:0046872]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]
Q9VFP2	reviewed	identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]; ubiquitin protein ligase binding [GO:0031625]
Q9VYA9	unreviewed	histone acetyltransferase activity [GO:0004402]; histone acetyltransferase activity (H4-K16 specific) [GO:0046972]; histone binding [GO:0042393]
Q9W3Y7	unreviewed	
A1ZAC7	unreviewed	
Q9VA54	unreviewed	ATPase activity [GO:0016887]; ATP binding [GO:0005524]; proteasome-activating ATPase activity [GO:0036402]; TBP-class protein binding [GO:0017025]
A1ZAC8	unreviewed	DNA binding [GO:0003677]
H1UUJ7	unreviewed	
O76865	unreviewed	UDP-galactose transmembrane transporter activity [GO:0005459]; UDP-N-acetylgalactosamine transmembrane transporter activity [GO:0005463]
O76927	reviewed	ribosome binding [GO:0043022]; structural constituent of ribosome [GO:0003735]
P09491	reviewed	actin binding [GO:0003779]; actin filament binding [GO:0051015]
P09956	reviewed	sequence-specific DNA binding [GO:0043565]
P48159	reviewed	large ribosomal subunit rRNA binding [GO:0070180]; myosin binding [GO:0017022]; structural constituent of ribosome [GO:0003735]
Q7JUN9	unreviewed	3'-5'-exodeoxyribonuclease activity [GO:0008296]; endodeoxyribonuclease activity, producing 5'-phosphomonoesters [GO:0016888]
Q7JWN2	unreviewed	
Q7K3V6	unreviewed	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; translation elongation factor activity [GO:0003746]
Q8INT9	unreviewed	
Q8MYV9	unreviewed	structural constituent of cuticle [GO:0042302]
Q8SX83	reviewed	RNA binding [GO:0003723]
Q9U5L1	reviewed	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; RNA binding [GO:0003723]; signal recognition particle binding [GO:0005047]
Q9V7D2	reviewed	proton-transporting ATPase activity, rotational mechanism [GO:0046961]
Q9VEC3	reviewed	
Q9VI04	unreviewed	beta-ureidopropionase activity [GO:0003837]
Q9VL73	unreviewed	RNA binding [GO:0003723]; translation activator activity [GO:0008494]
Q9VNB0	unreviewed	peptidase activator activity [GO:0016504]
Q9VNN7	unreviewed	
Q9VSK1	unreviewed	
Q9VV29	unreviewed	
Q9VVK7	unreviewed	catalytic activity [GO:0003824]
Q9VXA7	unreviewed	
Q9VYT7	unreviewed	
Q9W125	unreviewed	NADH dehydrogenase activity [GO:0003954]
Q9W1J9	unreviewed	metalloendopeptidase activity [GO:0004222]
Q9W1Q0	unreviewed	
Q9W246	unreviewed	
Q9W3W8	reviewed	structural constituent of ribosome [GO:0003735]
Q9W510	unreviewed	
Q9XZT6	reviewed	ATP binding [GO:0005524]; deoxynucleoside kinase activity [GO:0019136]; kinase activity [GO:0016301]; thymidine kinase activity [GO:0004797]
A1ZAD2	unreviewed	isocitrate dehydrogenase (NAD+) activity [GO:0004449]
P48588	reviewed	structural constituent of ribosome [GO:0003735]
C0HL67	reviewed	nucleosomal DNA binding [GO:0031492]; protein heterodimerization activity [GO:0046982]; structural constituent of chromatin [GO:0030527]
C0HL66	reviewed	DNA binding [GO:0003677]; protein heterodimerization activity [GO:0046982]; structural constituent of chromatin [GO:0030527]
Q8IP68	unreviewed	
A1ZAG1	unreviewed	
Q9VQD8	unreviewed	actin binding [GO:0003779]; actin filament binding [GO:0051015]; structural constituent of cytoskeleton [GO:0005200]
A1ZAG7	unreviewed	
Q9VRG8	unreviewed	carboxy-lyase activity [GO:0016831]; pyridoxal phosphate binding [GO:0030170]; sphinganine-1-phosphate aldolase activity [GO:0008117]
A1ZAH1	unreviewed	proton-exporting ATPase activity, phosphorylative mechanism [GO:0008553]
Q86BA5	unreviewed	transporter activity [GO:0005215]
Q9I7K5	reviewed	transporter activity [GO:0005215]
Q9W077	unreviewed	structural constituent of chitin-based larval cuticle [GO:0008010]
A1ZAH3	unreviewed	cytoskeletal protein binding [GO:0008092]; structural constituent of muscle [GO:0008307]
Q9VHT6	unreviewed	
A1ZAH6	unreviewed	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein kinase C activity [GO:0004697]; protein serine/threonine kinase activity [GO:0004674]
A1ZAI3	reviewed	alcohol-forming fatty acyl-CoA reductase activity [GO:0102965]; fatty-acyl-CoA reductase (alcohol-forming) activity [GO:0080019]
A1ZAI5	reviewed	alcohol-forming fatty acyl-CoA reductase activity [GO:0102965]; fatty-acyl-CoA reductase (alcohol-forming) activity [GO:0080019]
Q8IP97	unreviewed	
A1ZAI8	unreviewed	
Q7KS72	unreviewed	sequence-specific DNA binding [GO:0043565]
Q7Z2C5	unreviewed	
A1ZAJ7	unreviewed	
Q9W1B9	unreviewed	rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]
A1ZAJ8	unreviewed	
Q7KM13	reviewed	DNA binding [GO:0003677]; protein dimerization activity [GO:0046983]; proximal promoter DNA-binding transcription repressor activity, RNA polymerase II-specific [GO:0001078]; RNA polymerase II regulatory region sequence-specific DNA binding [GO:0000977]; sequence-specific DNA binding [GO:0043565]; sequence-specific double-stranded DNA binding [GO:1990837]; transcription corepressor activity [GO:0003714]; transcription factor binding [GO:0008134]
A1ZAK1	reviewed	
A1ZAK7	unreviewed	mRNA binding [GO:0003729]
Q9VL25	unreviewed	ATP binding [GO:0005524]; ATP-dependent 3'-5' RNA helicase activity [GO:0034459]; helicase activity [GO:0004386]; RNA binding [GO:0003723]
A1ZAL1	unreviewed	lysozyme activity [GO:0003796]
Q9VAN8	unreviewed	
A1ZAM0	unreviewed	
Q9VZK8	unreviewed	alcohol dehydrogenase (NADP+) activity [GO:0008106]; alditol:NADP+ 1-oxidoreductase activity [GO:0004032]; oxidoreductase activity [GO:0016491]
A1ZAP0	unreviewed	histone deacetylase binding [GO:0042826]
Q2PDP6	unreviewed	nucleic acid binding [GO:0003676]
A1ZAP8	unreviewed	
A1ZAQ4	unreviewed	Rho guanyl-nucleotide exchange factor activity [GO:0005089]
A1ZAQ6	unreviewed	
Q9VHA0	reviewed	identical protein binding [GO:0042802]; PRC1 complex binding [GO:0140259]; zinc ion binding [GO:0008270]
Q9VJW5	unreviewed	ligase activity [GO:0016874]; ubiquitin protein ligase activity [GO:0061630]; ubiquitin-protein transferase activity [GO:0004842]; zinc ion binding [GO:0008270]
A1ZAR2	unreviewed	protein-cysteine S-palmitoyltransferase activity [GO:0019706]
A1ZAR6	unreviewed	nuclear localization sequence binding [GO:0008139]; protein transporter activity [GO:0008565]
A1ZAS8	unreviewed	phosphatidylinositol-3-phosphatase activity [GO:0004438]; protein tyrosine phosphatase activity [GO:0004725]
Q8T3U2	reviewed	structural constituent of ribosome [GO:0003735]
Q9VMT5	reviewed	heme binding [GO:0020037]; iron ion binding [GO:0005506]; monooxygenase activity [GO:0004497]; oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen [GO:0016705]
A1ZAT5	unreviewed	zinc ion binding [GO:0008270]
Q9GU68	reviewed	ribosome binding [GO:0043022]; translation elongation factor activity [GO:0003746]
Q9VWE4	unreviewed	phosphatase activity [GO:0016791]; RNA polymerase II CTD heptapeptide repeat phosphatase activity [GO:0008420]
A8JV41	unreviewed	sodium channel activity [GO:0005272]
O77264	reviewed	ATP binding [GO:0005524]; RNA-3'-phosphate cyclase activity [GO:0003963]
P18053	reviewed	endopeptidase activity [GO:0004175]; threonine-type endopeptidase activity [GO:0004298]
P41375	reviewed	metal ion binding [GO:0046872]; translation initiation factor activity [GO:0003743]
P48604	reviewed	adenyl-nucleotide exchange factor activity [GO:0000774]; chaperone binding [GO:0051087]; protein homodimerization activity [GO:0042803]; unfolded protein binding [GO:0051082]
Q00168	reviewed	ATP binding [GO:0005524]; calmodulin binding [GO:0005516]; calmodulin-dependent protein kinase activity [GO:0004683]; protein serine/threonine kinase activity [GO:0004674]
Q24560	reviewed	GTPase activity [GO:0003924]; GTP binding [GO:0005525]; structural constituent of cytoskeleton [GO:0005200]
Q7KLW6	unreviewed	DNA binding [GO:0003677]
Q8SXP0	unreviewed	phosphatidate phosphatase activity [GO:0008195]; transcription coactivator activity [GO:0003713]
Q9BJZ5	reviewed	mRNA binding [GO:0003729]
Q9U4G5	unreviewed	sequence-specific DNA binding [GO:0043565]
Q9VBZ0	unreviewed	
Q9VDT9	unreviewed	chemoattractant activity [GO:0042056]; fibroblast growth factor receptor binding [GO:0005104]; growth factor activity [GO:0008083]
Q9VEY5	unreviewed	
Q9VL07	unreviewed	chromatin binding [GO:0003682]; chromatin DNA binding [GO:0031490]; histone demethylase activity [GO:0032452]; histone demethylase activity (H3-K27 specific) [GO:0071558]; metal ion binding [GO:0046872]; methyltransferase activity [GO:0008168]; nuclear hormone receptor binding [GO:0035257]; promoter-specific chromatin binding [GO:1990841]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]
Q9VS45	unreviewed	Rho guanyl-nucleotide exchange factor activity [GO:0005089]
Q9VWA8	reviewed	actin filament binding [GO:0051015]
Q9W4P0	unreviewed	acetyltransferase activity [GO:0016407]
A1ZAU8	reviewed	calmodulin binding [GO:0005516]; microtubule binding [GO:0008017]; microtubule minus-end binding [GO:0051011]; spectrin binding [GO:0030507]
A1ZBY1	reviewed	ubiquitin-protein transferase activity [GO:0004842]
A8DYY6	reviewed	
H1UUF6	unreviewed	
O18680	unreviewed	5-aminolevulinate synthase activity [GO:0003870]; pyridoxal phosphate binding [GO:0030170]
P08985	reviewed	DNA binding [GO:0003677]; protein-containing complex binding [GO:0044877]; protein heterodimerization activity [GO:0046982]
Q23973	reviewed	DNA binding [GO:0003677]
Q24251	reviewed	proton transmembrane transporter activity [GO:0015078]
Q6NR30	unreviewed	
Q7KRY6	reviewed	ATP binding [GO:0005524]; histone threonine kinase activity [GO:0035184]; metal ion binding [GO:0046872]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]
Q8IP90	unreviewed	mRNA 3'-UTR binding [GO:0003730]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]
Q9VJ33	reviewed	protein tag [GO:0031386]; ubiquitin protein ligase binding [GO:0031625]
Q9VSH4	reviewed	mRNA binding [GO:0003729]
Q9VWF8	unreviewed	
A1ZAV3	unreviewed	DNA-binding transcription factor activity [GO:0003700]; metal ion binding [GO:0046872]; sequence-specific DNA binding [GO:0043565]
A1ZAW3	unreviewed	GTPase activator activity [GO:0005096]
A8DYB7	unreviewed	cytoskeletal protein binding [GO:0008092]; structural constituent of muscle [GO:0008307]; zinc ion binding [GO:0008270]
P09089	reviewed	DNA-binding transcription factor activity [GO:0003700]; RNA polymerase II proximal promoter sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; transcription factor activity, RNA polymerase II distal enhancer sequence-specific binding [GO:0003705]
P12982	reviewed	metal ion binding [GO:0046872]; myosin phosphatase activity [GO:0017018]; protein serine/threonine phosphatase activity [GO:0004722]
P17276	reviewed	iron ion binding [GO:0005506]; phenylalanine 4-monooxygenase activity [GO:0004505]; tryptophan 5-monooxygenase activity [GO:0004510]
Q4V424	unreviewed	protein phosphatase inhibitor activity [GO:0004864]
A1ZAW9	unreviewed	chromatin binding [GO:0003682]
Q4V6H2	unreviewed	glutathione peroxidase activity [GO:0004602]
A1ZAX0	reviewed	allatostatin receptor activity [GO:0008261]; G protein-coupled receptor activity [GO:0004930]; neuropeptide receptor activity [GO:0008188]
P15364	reviewed	
A1ZAX1	reviewed	translation initiation factor activity [GO:0003743]; translation initiation factor binding [GO:0031369]
Q7K4A8	unreviewed	gamma-butyrobetaine dioxygenase activity [GO:0008336]; oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen [GO:0016702]
Q95TL8	unreviewed	isomerase activity [GO:0016853]
Q9VZS3	reviewed	ribosomal small subunit binding [GO:0043024]; RNA binding [GO:0003723]; translation initiation factor activity [GO:0003743]
A1ZAX8	unreviewed	
O61348	unreviewed	DNA binding [GO:0003677]
Q9VT69	unreviewed	phosphatidylinositol-4,5-bisphosphate 4-phosphatase activity [GO:0034597]
A1ZAY1	reviewed	cadherin binding [GO:0045296]
A1ZAY9	unreviewed	ligand-gated ion channel activity [GO:0015276]
G4LU48	unreviewed	
I1WYH9	unreviewed	signaling receptor binding [GO:0005102]
P09615	reviewed	extracellular matrix binding [GO:0050840]; frizzled binding [GO:0005109]; glycosaminoglycan binding [GO:0005539]; heparan sulfate proteoglycan binding [GO:0043395]; morphogen activity [GO:0016015]; receptor ligand activity [GO:0048018]
P49630	reviewed	structural constituent of ribosome [GO:0003735]
P49657	reviewed	ATP binding [GO:0005524]; protein kinase activity [GO:0004672]; protein kinase inhibitor activity [GO:0004860]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein serine/threonine kinase activity [GO:0004674]
Q24443	unreviewed	deoxyribodipyrimidine photo-lyase activity [GO:0003904]
Q26307	reviewed	
Q8I0D5	unreviewed	
Q94522	reviewed	cofactor binding [GO:0048037]; GDP binding [GO:0019003]; nucleoside diphosphate kinase activity [GO:0004550]; succinate-CoA ligase (ADP-forming) activity [GO:0004775]; succinate-CoA ligase (GDP-forming) activity [GO:0004776]; succinyl-CoA hydrolase activity [GO:0004778]
Q9VPU1	unreviewed	cell adhesion molecule binding [GO:0050839]; insulin receptor binding [GO:0005158]; molecular adaptor activity [GO:0060090]; protein kinase binding [GO:0019901]; SH3/SH2 adaptor activity [GO:0005070]
