P45985	Q14315
P04637	Q15291
P04637	P61964
Q9H7Z6	P61964
Q15291	Q03164
P61964	Q9UBL3
P61964	Q15291
P61964	O14686
Q15291	Q9UBL3
Q15291	P61964
Q15291	O14686
Q9UKB1	P17181
P17181	Q9UKB1
Q9NR28	P98170
P98170	Q9NR28
P55211	P98170
P98170	P55211
P00519	P07900
P00519	P34932
P07900	Q9UBN7
O75182	Q92769
Q13547	O75182
O15265	Q9Y4A5
O15265	Q92830
O15265	O75486
O15265	Q96ES7
O15265	Q16514
O15265	O43186
Q92793	P11362
P11362	Q92793
Q92793	Q15418
O75164	P06400
Q13315	Q9H7Z6
Q9H7Z6	Q13315
P11473	P48443
P11473	P12931
P11473	Q15596
P11473	Q9Y6Q9
P11473	Q15648
P11473	P24928
Q9UBN7	P07900
P07900	Q15185
P07900	P04150
Q13315	P15336
O60934	P15336
P14373	O75925
P14373	Q9Y6X2
P14373	O75928
P14373	Q8N2W9
P18850	P25490
P25490	P18850
P25490	Q99873
Q9UKL0	Q13547
Q9UKL0	Q13127
Q92793	P42224
P46937	O15350
O15350	Q09472
P11473	P19793
P03372	P43246
Q92731	P43246
P38398	P43246
P43246	P03372
P43246	Q92731
P03372	Q15648
Q13263	P45973
P23497	P45973
Q14739	P45973
Q13112	P45973
P46100	P45973
P45973	Q13263
P45973	P23497
P45973	Q14739
P45973	Q13112
P45973	Q6KC79
P45973	Q14839
P45973	P51532
P45973	Q13111
P45973	Q09028
Q6KC79	Q13185
P08047	Q9Y618
P08047	O75376
P08047	Q6W2J9
P21675	Q6P1X5
P21675	P20226
Q9BXA6	P07900
Q9Y618	P04150
Q9Y618	P17676
Q9Y618	Q16236
P17676	Q9Y618
Q16236	Q9Y618
O75376	P04150
O75376	Q07869
P51532	P15172
P51532	Q9P2K5
Q9P2K5	P51532
P40763	P26358
P40763	Q13547
P26358	P40763
P26358	Q13547
P05549	P25490
P19793	Q9Y6Q9
P19793	Q15648
P04637	P31947
Q9Y297	P35222
Q9C0K0	P10589
Q9C0K0	P08047
P10589	Q9C0K0
P08047	Q9C0K0
P08047	P10589
Q9Y6H5	Q8IUQ4
Q8IUQ4	Q9Y6H5
Q14155	P22681
P60953	P22681
P60953	Q14155
P00533	P22681
P41235	P35222
P10275	P35222
Q00987	P04637
O60260	P23258
P84022	Q03112
P84022	Q92793
Q9Y618	O15379
Q15466	Q13547
Q15466	O15379
P10275	Q13547
Q13363	Q09472
Q13363	Q92793
Q13363	Q92831
Q09472	Q13363
Q13547	O15105
Q92769	O15105
O15379	O15105
Q9UQL6	O15105
Q9UBN7	O15105
Q16665	P40337
P40337	Q16665
P23511	P04637
P23511	P25208
P04637	P23511
P04637	P25208
P54132	P63279
Q13547	P04150
P62508	Q9UBK2
P62993	P29353
P09874	P10827
P09874	O75586
P49336	O75586
P49336	P09874
Q13772	P11473
P11473	Q13772
P11473	P19793
P68400	O15379
O15379	P60510
Q01196	Q92794
Q01196	Q13951
Q92794	Q01196
Q09472	P19838
P43699	Q15788
P43699	Q92793
Q86X55	Q92793
Q86X55	Q09472
Q9Y6K9	Q9NQC7
Q12933	Q9NQC7
Q9NQC7	Q9Y6K9
Q9NQC7	Q12933
Q9NQC7	Q9Y4K3
P40337	P62487
Q9P2P5	O15350
O15350	Q9P2P5
P38398	Q9BXW9
Q13490	Q9Y6K9
Q12933	Q9Y6K9
Q04206	P25963
O43493	Q9BXS5
O43493	Q96CW1
P84077	P53618
P53618	P84077
P12004	Q13111
P12004	P28340
P12931	P03372
O60264	Q92769
Q92769	O60264
P03372	P38936
Q92793	P38936
O00458	Q06413
P15172	Q06413
P15172	O00458
Q06413	O00458
Q06413	P56524
Q969G3	P10275
Q9UKV0	P98161
P98161	Q9UKV0
P84022	P38398
P38398	P84022
P17544	Q16514
P17544	O00268
Q14191	P16104
Q14191	O60934
P16104	Q14191
P16104	O60934
Q86X55	Q09472
Q86X55	Q92793
Q09472	Q9Y3R0
Q9UQL6	Q15139
P04792	Q15139
Q15139	P04792
Q13547	P08047
P08047	Q13547
Q13547	P24385
Q92769	P24385
O15379	P24385
P24385	Q13547
P24385	O15379
Q13547	Q01826
Q09472	Q8IUE6
Q00987	O15151
Q7Z419	P38936
P38936	Q7Z419
P62993	P22681
P08069	Q00987
Q00987	P08069
P63208	Q9Y297
O96017	P04637
P40337	Q16665
P22681	Q04912
P08047	Q92769
P49715	Q13547
O14757	P30307
Q9UBB5	Q8NHZ7
Q9UBB5	O95983
O95983	Q8NHZ7
O95983	Q9UBB5
Q8NHZ7	O95983
Q8NHZ7	Q9UBB5
P42224	Q92793
Q92793	P42226
P42226	Q15788
Q13547	Q96ST3
P01106	Q13616
Q13309	P01106
P01106	Q13309
Q96LD8	Q15843
O14757	P30304
O96017	P30304
P01375	P19438
P01375	Q15628
P01375	Q13546
P48023	P19438
P48023	P25445
P48023	Q13158
P48023	Q14790
Q9NV58	Q9Y6H5
O95817	P34932
Q8N2W9	Q13485
P00533	Q96B97
P00533	P22681
Q16695	O14929
Q16695	Q16576
Q16695	P11142
Q16695	P07900
Q16695	Q8TEX9
Q16695	Q9NVP2
Q16695	Q09028
Q16695	Q13112
Q16576	Q16695
Q16576	O14929
Q9NVP2	Q16695
Q9NVP2	O14929
Q9NVP2	Q16576
Q8TEX9	Q9NVP2
O14929	Q9NVP2
Q6VMQ6	Q9UIS9
Q9UIS9	Q6VMQ6
Q6VMQ6	Q15047
Q5U623	Q15047
Q6VMQ6	P08047
Q5U623	P08047
Q15910	Q96EB6
Q96EB6	Q15910
Q96EB6	Q15022
P37231	O75376
P37231	Q9Y618
O75376	P37231
Q9Y618	P37231
P40763	P06400
P06400	P40763
P08047	P04637
P04637	P08047
Q53GL7	P01106
P01106	Q53GL7
P06400	Q01094
Q13887	Q13547
Q13547	Q13887
Q13887	Q09472
P40763	P24385
P24385	P40763
Q08999	Q13309
Q13616	Q86VP6
Q13616	P62877
Q15796	P84022
O15360	Q00597
O15360	O15287
O60260	P34932
O60260	P62195
P03372	Q15596
P19793	Q15596
Q92793	Q15596
Q92794	Q92793
Q09472	P40763
P40763	Q13547
P40763	Q92769
P40763	O15379
O15379	P40763
Q92793	P40763
P08047	P41235
P19793	P11473
P11473	P19793
P24941	P20248
P24941	P38936
P24941	P46527
P14618	Q15751
Q15751	P14618
P51959	P04637
P36956	Q09472
Q9BYM8	P48200
P53567	P35638
P04637	Q00987
P40337	Q16665
P40337	P24928
P40337	Q99814
P40337	Q13617
P40337	Q15370
P40337	Q15369
P40337	P62877
P00533	P22681
P55036	Q99798
P55036	P09622
Q00987	P10275
Q00987	Q13547
Q9H165	Q96EB6
Q96EB6	Q9H165
Q13485	Q9UER7
Q13485	P63279
Q9UER7	Q13485
Q9GZX7	P78527
P78527	Q9GZX7
P04637	Q92793
Q9NNW7	P32780
P28702	P32780
P32780	Q9NNW7
Q9UKV0	P98161
P98161	Q9UKV0
Q09472	Q15796
Q09472	P84022
Q09472	P48436
Q9Y294	P54198
P54198	Q9Y294
Q09472	Q8IUE6
Q86X55	Q04206
Q04206	Q86X55
P01106	Q04206
P01106	Q09472
Q08211	P68133
P68133	Q08211
P07910	Q08211
P16104	Q08211
P16104	P12956
P12956	P16104
P78527	P16104
Q08211	P16104
Q08211	P78527
P78527	Q08211
P22681	O43597
O43597	P22681
Q8N4B1	Q01968
Q6ICB4	Q01968
Q96ST3	Q15583
Q15583	Q96ST3
P01106	P51946
P01106	P50750
P01106	O60563
P42858	Q92793
P68400	Q13547
Q13547	Q09028
Q13547	O94776
Q13547	Q96ST3
Q13547	Q9UKL0
Q09028	O94776
Q09028	Q96ST3
Q96ST3	O94776
Q96ST3	Q09028
Q96ST3	Q13547
Q09028	Q13547
P20248	P08047
P24385	P06400
Q92769	P06400
Q13547	P17947
Q9P2R6	Q96KQ7
P31749	P46531
P20226	P17947
Q04206	Q09472
P10242	Q09472
Q99471	Q13263
Q99471	Q13547
Q99471	P01106
P17947	Q96ST3
P06400	Q13547
P06400	Q92769
Q6ZRS2	Q09472
Q6ZRS2	Q92793
P03372	Q99966
Q99966	P03372
Q9Y4A5	Q92830
Q12824	P51532
Q14103	O94776
Q14103	Q13547
Q86X55	P42229
Q99873	P42229
P16104	Q9Y5B9
P16104	P51587
P16104	P09874
P16104	P13010
P16104	P12956
P16104	Q92993
P16104	O15355
P16104	P78527
P16104	Q08945
Q8WYK2	P15336
Q9Y466	Q9UKL0
Q9Y466	O60341
O43189	Q14683
O43189	P04637
O43189	Q15910
O43189	Q16576
O43189	Q15022
Q13263	P42224
P54198	Q9Y294
O75528	Q6UB98
Q6UB98	O75528
Q6UB98	O15379
Q9H334	Q9Y618
Q96IF1	O95863
O95863	Q96IF1
O43524	Q13315
Q13315	P16104
Q13315	P38398
Q13315	O75943
Q13315	O43524
P16104	Q13315
P16104	P38398
Q8WXE1	Q13535
P67775	Q8WUI4
Q8WUI4	P67775
P56524	P67775
Q9UQL6	P67775
P08047	P23771
P40337	Q9Y2N7
P40337	Q16665
Q9Y2N7	P40337
Q13490	Q9NR28
Q13490	P61077
Q13490	P51668
Q13489	P51668
Q13489	P61077
P98170	P51668
P98170	P61077
P98170	Q9NR28
Q13489	Q9NR28
P19838	Q9Y297
Q8NHY2	P61201
Q8NHY2	Q99627
P25963	P19838
P25963	Q04206
Q92793	P20823
Q09472	P20823
P20823	Q92793
P20823	Q09472
Q09472	Q92793
Q92793	Q09472
O00213	Q01105
Q01105	O00213
Q92793	P16220
O15169	P35222
Q9H4P4	P21860
P01375	P19438
P01375	P20333
P01375	Q15628
P01375	Q12933
P01375	Q9UHD2
Q99836	Q13045
Q32MZ4	Q13045
Q9Y608	Q13045
P11142	Q99933
P04626	Q9UNE7
Q9ULV8	Q96J02
Q96J02	Q9ULV8
P31749	P07900
Q16543	P07900
Q16543	P31749
P31749	Q16543
Q9H467	O14920
Q9H467	O15111
O14920	Q9H467
O14920	Q12933
Q9H467	O75807
O14920	P62136
Q14919	P20226
Q14919	Q01658
P14921	Q92793
P14921	Q09472
P15036	Q92793
P15036	Q09472
P01106	P61244
Q9BT49	O15379
Q53T94	Q9BT49
O43474	Q92769
P24941	P38936
P24941	P46527
P24941	P24864
P24941	P20248
P08047	Q13547
P08047	P03372
P03372	Q13547
P03372	P08047
Q13547	P03372
Q13547	P08047
P04637	Q00987
P00519	P25963
P40763	Q9BYH8
Q9BYH8	P40763
P19838	Q04206
P19838	P25963
P06454	Q01105
P50539	P61244
Q13351	Q13547
Q13950	P56524
P25963	Q9Y618
Q9Y618	P25963
Q9H2F5	O75461
O75461	Q9H2F5
Q9H2F5	Q15910
Q15910	Q9H2F5
Q15910	O75461
O75461	Q15910
P41182	Q9Y618
P10826	P19793
P10276	P19793
Q8WTS6	P04637
Q15910	Q13547
P25490	Q15910
Q9UQL6	P56524
P56524	Q9UQL6
P56524	Q06413
Q13950	O15379
Q9NQR1	P12004
P37231	P17096
P37231	P08047
P37231	P17676
Q09472	Q04206
P08047	Q02447
P08047	Q09472
Q02447	P08047
Q02447	Q09472
Q02447	Q13547
Q13547	Q02447
Q9Y4A5	P01106
Q92731	Q15788
Q92731	Q15596
Q92731	Q15648
Q92731	Q15650
Q92731	P48552
Q92731	O15164
Q92731	Q9Y6Q9
Q92731	Q09472
P37231	Q15648
P37231	Q15649
P37231	Q15650
P37231	Q15652
P37231	P48552
P37231	Q15788
P37231	O15164
P37231	Q15596
P37231	Q9Y6Q9
P37231	Q09472
O75376	Q07869
O43189	Q15910
O43189	Q15022
O43189	O75530
O43189	Q16576
Q15910	Q15022
Q15910	O75530
O75530	Q15910
O75530	Q15022
Q9Y265	P16104
Q13535	Q9UPV0
Q13535	Q8WXE1
Q9UPV0	Q13535
Q9UPV0	Q8WXE1
Q8WXE1	Q13535
Q8WXE1	Q9UPV0
P09874	Q04206
P09874	Q09472
Q09472	Q86X55
Q09472	Q04206
Q09472	P09874
Q09472	Q99873
Q86X55	Q04206
Q86X55	Q09472
Q99873	Q04206
Q04206	Q99873
Q04206	Q09472
Q04206	P09874
Q04206	Q86X55
P04637	Q92993
Q99583	P61244
Q13547	P01106
P01106	Q13547
P56524	P27348
P08047	P10276
P08047	P19793
Q15596	Q9Y6Q9
Q15596	Q15788
Q9Y6Q9	Q15596
Q15788	P42226
Q16665	Q96KS0
Q16665	Q9GZT9
Q16665	Q9H6Z9
Q16665	P40337
O75376	P41212
Q01094	Q9Y4A5
P38936	Q09472
Q09472	P12004
Q04206	Q92769
Q05513	P08047
P16403	P78527
P16403	Q8IXJ9
P16403	P09874
P16403	A9QM74
P16403	P19338
P16403	P35222
P16403	Q14974
P16403	P61964
P16403	Q9GZL7
P16403	Q14498
P16403	P67809
P16403	Q9UHX1
Q09472	P43694
Q8WW38	P43694
P50461	P56524
P56524	P50461
Q9NPJ6	Q9BUE0
P04637	Q9Y4A5
P04637	Q92830
P04637	Q16594
P04637	O75528
Q04206	P08047
P08047	Q04206
P36956	P10275
Q92793	Q04206
Q92793	Q16236
Q16236	Q92793
Q96EB6	O60477
Q96EB6	P04637
P28482	P03372
Q15788	P03372
P17612	Q13547
P68400	Q13547
Q13426	P78527
Q13426	P49917
Q13426	P12956
Q13426	P13010
P12956	P78527
P12956	P49917
P12956	Q13426
P12956	P13010
P13010	P78527
P13010	P49917
P13010	Q13426
P13010	P12956
Q9UBU8	Q9NV56
Q92993	Q9NV56
Q9NV56	Q15906
Q9H6R7	Q9Y265
Q9H6R7	Q9Y230
P06400	Q01094
P19838	O15379
O15111	Q9Y618
O15111	Q04206
O14920	Q04206
Q9UHD2	Q04206
Q09472	Q13485
P08047	Q13485
Q08117	Q04206
P29590	P06748
P10276	Q02880
Q9HCU9	P29374
P15692	P34932
P06400	P04049
Q02750	P04049
P04049	P06400
P04049	Q02750
P24385	P06400
Q01094	P06400
P51532	P06400
Q13547	P06400
P45973	P06400
O60907	Q9BZK7
O60907	O75376
O60907	O15379
Q9BZK7	O75376
Q9BZK7	O15379
P06401	P08047
Q13547	P04637
P04637	Q13547
P04637	P20226
P84022	Q13547
P84022	P12755
P84022	P12757
P84022	Q15583
P84022	P05412
Q13547	O75446
Q13547	Q9H160
Q13547	Q9UK53
O94776	Q12873
O94776	Q13547
O94776	Q92769
O94776	Q16576
O94776	Q09028
O94776	Q9UBB5
O94776	O95983
Q9UBB5	Q12873
Q9UBB5	Q13547
Q9UBB5	Q92769
Q9UBB5	Q16576
Q9UBB5	Q09028
Q9UBB5	O94776
Q9UBB5	O95983
Q13547	Q13351
P06400	P29374
O75446	P29374
Q96ST3	P29374
P29374	Q96ST3
P29374	P06400
P29374	Q13547
P29374	Q16576
P06400	Q16576
P06400	Q09028
O75446	Q16576
O75446	Q09028
O75446	Q13547
O75446	Q92769
O75446	Q96ST3
Q9ULG1	Q9Y265
Q9ULG1	Q9Y230
Q9ULG1	Q9H9F9
Q9ULG1	Q6PI98
Q9ULG1	Q9C086
Q9ULG1	P25490
Q9ULG1	Q9H981
Q9ULG1	Q96EZ8
Q9ULG1	Q9Y5K5
Q9ULG1	Q53TQ3
Q9ULG1	Q8NBZ0
Q9ULG1	Q6P4R8
Q9ULG1	P0C1Z6
Q06413	P56524
Q06413	Q8WUI4
Q8WUI4	Q06413
Q8WUI4	Q92769
Q15532	P51531
Q16385	P51531
P06400	Q5TKA1
P20248	P08047
P61244	P50539
P06400	P08047
P06400	Q13547
P19793	P11473
P11473	Q15788
Q9UK53	P09455
Q9UK53	Q96ST3
Q9UK53	Q13547
Q9UK53	Q92769
Q96ST3	Q9UK53
Q96ST3	O75446
Q96ST3	Q13547
Q96ST3	Q09028
Q13547	Q9UK53
Q13547	Q96ST3
Q13547	O75446
Q13547	Q09028
Q9UK53	O75446
Q9UK53	Q09028
P21579	Q96ST3
Q8IZL8	Q92769
Q09472	P25208
O15350	Q09472
P25208	Q09472
P25208	O15350
Q13952	O15350
Q13547	O15350
O15350	Q13547
P41182	Q9BTC8
P41182	Q12873
P41182	Q13547
Q9BTC8	P41182
Q12873	P41182
Q13547	P41182
P41182	O75376
P41182	Q9Y618
Q13535	Q8WXE1
Q8WXE1	Q13535
Q06587	Q99496
Q06587	Q8IXK0
Q99496	Q16777
P10827	Q15788
P10827	Q15648
O75448	P10827
P10827	P19793
Q96T88	Q13547
Q13547	Q96T88
Q13547	Q96PU4
Q96PU4	Q13547
Q96T88	Q6BDS2
Q6BDS2	Q96T88
Q16665	P27540
Q13547	Q92769
Q13547	Q14839
Q13547	O60341
Q13547	O94776
Q13547	Q9UKL0
Q13547	Q16576
Q13547	Q9UBB5
Q13547	O95983
Q13547	O75182
O94776	Q13547
O94776	Q92769
O94776	Q9UBB5
Q9UBB5	O94776
Q9UKL0	Q13547
Q9UKL0	Q92769
Q9UKL0	O60341
O60341	Q13547
O60341	Q92769
O60341	Q9UKL0
Q92769	O94776
Q92769	Q9UKL0
Q92769	O60341
P04637	Q13547
P04637	O94776
P19235	Q9NSE2
P19235	O14508
Q99836	Q9NSE2
Q9NSE2	Q99836
Q9NSE2	Q93034
Q99836	P58753
P58753	Q99836
O60603	P58753
O00206	P58753
O00206	Q86XR7
O00206	Q99836
Q9NWZ3	Q99836
Q9NWZ3	P58753
Q9NWZ3	P51617
Q99836	Q9NWZ3
Q9HCE7	Q9BUZ4
Q9BUZ4	Q9HCE7
P11474	Q9UBK2
O75376	P10828
O75376	P10276
P10276	O75376
Q06455	O43439
Q06455	Q99081
Q06455	O75376
Q06455	O15379
Q06455	Q96ST3
Q06455	Q13547
Q99081	Q06455
Q01196	P15923
Q9UIS9	Q15047
Q9UIS9	Q13111
Q15047	Q9UIS9
Q15047	Q13111
Q13111	Q9UIS9
Q13111	Q15047
P12004	Q13111
Q9UBK2	O75469
O75469	Q9UBK2
Q9UBK2	P41235
P41235	Q9UBK2
P51532	P08047
P51531	Q96ST3
Q96ST3	P51531
Q15466	P51531
Q15466	Q96ST3
P51531	Q15466
P40763	P12931
P17275	Q09472
Q09472	P17275
Q05066	Q09472
Q09472	Q05066
O43663	O95239
O95239	O43663
O43663	Q02241
O43663	Q02224
Q02224	O43663
Q02241	O43663
Q13547	Q92769
Q92769	Q13547
P51532	P40763
P40763	P51532
P40763	P50750
P50750	P40763
P03372	Q13029
P19793	P11473
P11473	P19793
P11473	Q15788
Q92793	P10242
P84022	Q92831
P84022	Q09472
Q92831	Q15796
Q92831	P84022
Q9NQS7	O14965
Q9NQS7	Q96GD4
P08047	Q09472
P37231	Q15788
P37231	Q9Y6Q9
P37231	Q9Y3R0
P37231	Q15648
P19793	Q15788
P19793	Q9Y6Q9
P19793	Q15648
Q14839	Q13422
Q13422	Q14839
Q969G3	P51532
Q969G3	Q14839
Q14839	Q92769
Q14839	P51532
Q14839	Q92922
Q14839	Q969G3
P41212	O75376
O75376	P41212
P54259	Q06455
P56524	P31946
P31946	P56524
Q04206	Q92769
Q92793	Q92769
P35222	Q13547
P35222	Q9UJU2
P06400	Q13547
P06400	O15379
Q92793	P15172
Q92831	P15172
Q15648	P37231
Q15648	P19793
P36508	P20226
P20226	P36508
P36508	O75925
Q92793	P17509
P17509	Q92793
Q13330	Q13352
Q13352	Q13330
O00255	P34932
Q9UER7	P46100
P35658	Q99567
P35658	O14980
P25490	Q12800
P29590	P10276
Q01196	Q06455
O75376	Q06455
O75376	P10276
O75376	P29590
Q12778	Q92793
Q92793	Q12778
Q12778	Q8IXJ6
Q8IXJ6	Q12778
P16104	Q14676
P16104	Q92878
P16104	O60934
P16104	P49959
Q14676	O60934
Q92793	P41235
P41235	Q92793
P61201	P11473
P61201	P10827
P11473	O75376
P11473	P61201
O15379	O75376
O15379	Q9Y618
O75376	O15379
O75376	P56524
O75376	Q9UQL6
P62826	P18754
Q92793	P52292
P51532	P06400
P06400	P51532
P06400	Q13547
Q13547	P04637
P04637	Q13547
P03372	O60244
Q15648	P03372
P03372	Q15648
Q92731	Q15648
Q15648	Q92731
P10276	Q15648
P10276	Q15788
Q15788	P10276
P03372	Q15788
P11473	Q15544
P10827	Q15544
Q15544	P11473
Q15544	P10827
Q15648	P11473
P19793	P11473
P10827	Q15648
Q15648	P10827
P46100	P45973
P45973	P46100
P48552	P04150
Q15788	P04150
Q09472	P08047
P28482	P19419
Q15788	P03372
P46527	P30281
P30281	P46527
Q15796	P12755
P12755	Q15796
P12755	P84022
P84022	Q09472
P84022	P12755
P84022	Q13547
Q04206	Q92793
Q13315	Q13547
Q13547	Q13315
Q9Y478	Q9UQL6
Q9UQL6	Q9Y478
Q9H211	Q14566
Q9H211	O75496
Q9H211	P20248
Q13127	P20226
Q04206	Q09472
Q04206	Q13547
Q04206	O15379
Q13547	Q04206
O15379	Q04206
P45984	Q13469
O14867	O14980
P61201	Q96ST3
Q96ST3	P61201
Q92922	O14497
Q92922	Q8NFD5
Q8NFD5	O14497
O14497	P51532
Q8NFD5	P51532
Q9UKV0	P62258
Q96ST3	P04637
P04637	Q96ST3
O00255	P17535
P17535	O00255
Q13127	Q96ST3
Q13127	Q13547
Q13547	Q9UKV0
Q9UKV0	Q13547
P08047	Q13547
Q00987	P04637
Q16665	Q92793
Q09472	Q00987
P04637	Q00987
Q09472	Q16665
Q09472	Q99967
Q09472	P52630
O43918	P11021
Q12824	P51532
Q12824	Q92922
Q12824	Q8TAQ2
Q09472	Q9Y6Q9
Q86Y97	P45973
Q86Y97	P83916
P10276	P17096
P37231	P17096
P05412	P17096
Q92793	P17096
P10276	P17096
Q13547	P08047
P08047	Q01094
P23396	Q04206
P23396	P19838
Q04206	P23396
P19838	P23396
P06733	Q13547
P09874	P13010
P09874	P12956
P13010	P09874
P12956	P09874
P53350	Q92844
Q92844	P53350
Q92844	Q9Y6K9
Q9Y6K9	Q92844
P31749	O14920
O14920	P31749
P11362	P40763
P40763	P11362
P11362	P12931
Q01094	P35232
P35232	Q01094
P35232	P51532
P35232	P51531
P51532	P35232
P51531	P35232
Q99623	Q13547
Q13547	Q99623
Q99623	Q9UQL6
Q99623	P03372
P03372	Q99623
P03372	Q13547
Q16778	Q09472
Q16777	Q53T94
Q16777	Q09472
Q16778	Q53T94
P84022	Q09472
P48552	P10827
O75376	P10827
P98177	Q92793
Q92793	P98177
O43524	Q96EB6
Q96EB6	O43524
O43524	Q92793
Q9UBC3	Q13547
Q9UBC3	Q92769
Q9UBC3	P45973
Q9UBC3	O60264
P01106	O00499
O60264	Q9UBC3
O00499	P01106
P45973	Q9UBC3
Q13185	Q9UBC3
Q9UBC3	P26358
O75376	P19793
P10827	Q9Y3R0
P10827	Q15788
P10827	P48552
P10275	Q92993
Q92993	P10275
P15036	Q92793
Q09472	P14921
Q09472	P15036
P14921	Q09472
P15036	Q09472
Q92793	Q6ZRS2
Q6ZRS2	Q92793
Q6ZRS2	Q09472
P45973	Q13263
Q13185	Q13263
P83916	Q13263
P36956	P08047
P36956	Q09472
P36956	Q92793
Q04206	Q09472
Q04206	Q92793
P36956	Q96RN5
P36956	Q9ULK4
P36956	O43513
P36956	Q9UHV7
P36956	Q93074
P36956	Q15648
P36956	O60244
P36956	O75448
P36956	O95402
P36956	O75586
P11473	P19793
P11473	Q15788
Q9Y6Q9	P11473
Q92793	P11473
P28482	P11388
P61586	Q9NRY4
Q9Y618	P10276
Q15788	P10276
Q15788	P19793
P48552	P10276
Q9Y618	P19793
Q8WTS6	Q12962
Q12962	Q8WTS6
Q12962	P20226
Q12962	Q15545
Q12962	P49848
Q06187	P78347
Q13118	P08047
P08047	P03372
Q13330	P78368
P78368	Q13330
Q15910	Q08999
Q08999	Q15910
P12757	O75376
P12757	Q9Y618
O75376	P12757
Q9Y618	P12757
Q9BUP3	Q9HCD5
P10827	Q15648
P37231	Q15648
P31749	Q09472
Q9NQR1	P12004
O75190	P56524
Q13535	P27694
Q13535	Q8WXE1
Q6PEW1	Q15797
Q14005	O15379
Q14005	P11142
P37231	Q92993
Q01105	P04150
O75528	Q92831
O75528	Q92830
O75528	Q09472
O75528	P03372
Q9Y265	Q9Y230
Q9Y265	P35222
Q9Y265	P63279
Q9Y265	Q96L91
P63279	Q9Y265
Q9Y265	Q92993
P51532	O14497
P51532	Q92922
P51532	Q8TAQ2
Q9HAW4	O00311
Q9UBN7	Q13283
Q13283	Q9UBN7
O95644	P09874
P09874	O95644
P02008	P08047
Q6UWZ7	Q96RL1
P46736	Q96RL1
P46736	Q6UWZ7
Q96RL1	P46736
Q01196	P29590
Q01196	Q92769
P29590	P10276
P29590	Q92769
P10276	Q92769
Q9HAJ7	Q96ST3
Q8WW38	Q13330
Q8WW38	O94776
Q8WW38	Q16576
Q8WW38	Q09028
Q13330	Q16576
Q13330	Q09028
P11473	P84022
P11473	P19793
P84022	P11473
P19793	P11473
P06400	Q13547
Q9BXW9	Q9NS91
Q9NS91	Q9BXW9
Q9BXW9	O95271
O95271	Q9BXW9
Q9BXW9	P54274
Q13535	P43246
P43246	Q13535
Q9BX63	P54132
P54132	Q9BX63
Q9BX63	P38398
P38398	P27694
P38398	P40692
P38398	O15360
O15360	Q13472
P23759	P61964
P61964	P23759
P61964	Q9UBL3
Q9UBL3	P61964
Q9NRG4	P04637
Q9NRG4	Q9Y2J2
Q9NRG4	P07900
P46527	Q13309
Q13547	Q92769
Q96ST3	Q92769
Q96ST3	Q13547
P08047	Q92769
P08047	Q13547
P19235	Q9NSE2
P19235	O14508
P19235	P27986
P19235	P42229
P36896	P62942
Q00987	P04637
P01106	Q16665
Q16665	P01106
Q13315	O96017
Q13315	P04637
P10275	Q9Y618
P10275	P12931
Q96B02	Q9NW38
Q9NW38	Q96B02
P06400	Q92831
Q92831	P06400
P06400	Q00987
P06400	Q13547
P06400	Q9Y6B2
Q92831	Q9Y4A5
Q92831	Q9Y6J9
Q92831	O75529
Q92831	O75478
Q92831	O75528
Q92831	O75486
Q16254	P28749
Q16254	Q08999
Q16254	P06400
Q13547	Q08999
Q13547	Q16254
P10827	O75376
P10827	Q9Y3R0
O75376	P10827
Q15788	P10827
Q9Y3R0	P10827
Q9BX63	P54132
P06493	Q08050
P14635	Q08050
P24941	Q08050
P24864	Q08050
Q92793	Q08050
P38398	P51587
Q9NPI8	Q9Y248
Q9NPI8	O15360
P12956	P13010
P12956	Q92793
Q9Y248	Q9NPI8
Q92793	P12956
Q92793	Q07666
P17096	P14859
P17096	P09086
Q9Y618	Q06455
Q06455	Q9Y618
Q06455	O75376
O75376	Q06455
Q06455	Q13547
Q92793	P17096
Q09472	P25208
O75446	Q14839
O75446	Q96ST3
O75446	Q13547
O75446	Q92769
O75446	Q09028
O75446	Q16576
O75376	P04150
P22415	O00716
O00716	P22415
Q15853	P22415
P22415	Q15853
Q15796	Q92831
P84022	Q92831
P49450	Q96T23
P49450	P07199
P49450	Q96BT3
P49450	Q96H22
P49450	Q9H3R5
P49450	Q9NSP4
P49450	O75367
Q96GM5	Q15233
Q96GM5	P51532
Q96GM5	P51531
Q96GM5	Q12824
P51531	P51532
P51531	Q12824
P51532	Q15233
P51532	P51531
P51532	Q12824
Q15233	P51532
Q15233	Q96GM5
Q15233	P23246
Q03181	Q13547
P25490	Q9ULG1
P25490	Q9H981
P25490	Q9H9F9
P25490	O96019
P25490	Q9Y265
P25490	Q9Y230
O96019	P25490
Q9Y265	P25490
Q9Y230	P25490
Q9ULG1	P25490
P25490	P04637
Q13547	Q14839
Q13547	Q96ST3
Q13547	O75446
Q13547	Q92769
Q13547	Q09028
Q13547	Q16576
Q14839	O75446
Q14839	Q13547
Q14839	Q92769
Q14839	Q09028
Q14839	Q16576
Q13547	Q14839
O75446	Q14839
O75446	Q96ST3
O75446	Q13547
O75446	Q92769
O75446	Q16576
O75446	Q09028
Q13547	O94776
Q14839	O94776
Q16576	Q14839
Q09028	Q14839
P03372	Q15788
P03372	Q9Y3R0
P36956	Q92793
Q96ST3	P41182
